2020-07-29 15:26:58,,,,,,,,,,,,Definitely,Probably Not,Probably Not,Probably,Probably Not,Definitely Not,,,,Somewhat Agree,Somewhat Disagree,I am Unsure,Strongly Agree,Somewhat Agree,I am Unsure,Somewhat Agree,Somewhat Agree,I am Unsure,I am Unsure,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,I am unsure,Strongly Disagree,Somewhat Agree,I am unsure,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,I am unsure,Strongly Agree,I am unsure,Somewhat Agree
2020-07-29 15:28:51,Not Sure,Definitely Not,Not Sure,Not Sure,Probably,Not Sure,Probably Not,Definitely,,,,,,,,,,,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I am Unsure,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,I am Unsure,I am Unsure,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,I am unsure,Somewhat Disagree,I am unsure,Somewhat Disagree,Strongly Disagree,I am unsure,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree
2020-07-29 15:29:57,Probably Not,Not Sure,Definitely,Probably,Probably,Probably,Not Sure,Definitely,,,,,,,,,,,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,I am Unsure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,I am unsure,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree
2020-07-29 15:31:31,Definitely,Definitely,Probably,Probably,Definitely,Probably,Not Sure,Definitely,,,,,,,,,,,,,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,I am Unsure,I am Unsure,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,I am unsure,I am unsure,Somewhat Agree,Somewhat Agree,I am unsure,Somewhat Disagree,I am unsure,Somewhat Agree
2020-07-29 15:32:44,,,,,,,,,,,,Probably,Probably,Probably,Definitely,Not Sure,Not Sure,,,,I am Unsure,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I am Unsure,I am Unsure,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I am unsure,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,I am unsure,Somewhat Disagree,I am unsure,Somewhat Agree,Somewhat Agree,Somewhat Agree
2020-07-29 15:33:17,Probably,Not Sure,Definitely,Not Sure,Definitely,Definitely,Probably,Definitely,,,,,,,,,,,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I am Unsure,I am Unsure,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,I am unsure
2020-07-29 15:34:12,Definitely,Probably,Not Sure,Probably,Probably,Definitely,Definitely,Probably,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,I am Unsure,Strongly Agree,I am Unsure,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,I am unsure,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,I am unsure,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,I am unsure,I am unsure,Somewhat Disagree,Strongly Agree,Strongly Agree
2020-07-29 15:35:53,,,,,,,,,,,,Probably,Probably Not,Probably Not,Probably,Probably Not,Not Sure,,,,Somewhat Disagree,I am Unsure,I am Unsure,I am Unsure,I am Unsure,Somewhat Disagree,I am Unsure,Somewhat Agree,I am Unsure,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
2020-07-29 15:36:54,Definitely,Not Sure,Not Sure,Probably,Definitely,Probably,Not Sure,Definitely,,,,,,,,,,,,,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
2020-07-29 15:37:42,Definitely,Probably,Probably,Not Sure,Definitely,Probably,Probably Not,Definitely,,,,,,,,,,,,,Strongly Agree,Somewhat Agree,I am Unsure,I am Unsure,I am Unsure,I am Unsure,I am Unsure,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,I am unsure,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
